epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4845.43,1.21877,0.60716,1.15204,0.93831,0.94459,0.98061,0.61262,1.36115,0.58817,1.1964,0.0009506,0.0009506,0.0009506
55,4930.5,1.2206,0.6015,1.14901,0.91332,0.95909,0.97727,0.6154,1.34968,0.59515,1.19951,0.0009308,0.0009308,0.0009308
56,5017.57,1.2179,0.6039,1.15362,0.93891,0.93008,0.97931,0.60743,1.37953,0.60321,1.19458,0.000911,0.000911,0.000911
57,5105.88,1.23011,0.60832,1.15658,0.93339,0.94459,0.97756,0.61993,1.34225,0.59738,1.19499,0.0008912,0.0008912,0.0008912
58,5190.6,1.22391,0.60488,1.15503,0.92153,0.96054,0.98382,0.60983,1.34227,0.57893,1.19904,0.0008714,0.0008714,0.0008714
59,5273.24,1.21606,0.60616,1.15545,0.92974,0.94266,0.9765,0.61612,1.34545,0.59065,1.19528,0.0008516,0.0008516,0.0008516
60,5363.59,1.21786,0.59768,1.14795,0.91867,0.95515,0.97569,0.61891,1.33782,0.59132,1.1982,0.0008318,0.0008318,0.0008318
61,5450.53,1.20283,0.59429,1.15187,0.93858,0.92731,0.97853,0.61173,1.36009,0.59382,1.20444,0.000812,0.000812,0.000812
62,5532.54,1.21005,0.59114,1.15479,0.93193,0.93922,0.97841,0.61865,1.33634,0.58468,1.19669,0.0007922,0.0007922,0.0007922
63,5618.54,1.20178,0.59556,1.14932,0.93508,0.95007,0.98112,0.61222,1.35296,0.59438,1.19287,0.0007724,0.0007724,0.0007724
64,5705.52,1.21196,0.58918,1.15084,0.93158,0.93404,0.97808,0.6177,1.32298,0.58559,1.19345,0.0007526,0.0007526,0.0007526
65,5789.57,1.21267,0.58613,1.15298,0.93503,0.94459,0.98187,0.62778,1.32117,0.57385,1.19945,0.0007328,0.0007328,0.0007328
66,5873.57,1.20478,0.58522,1.14526,0.93464,0.94326,0.98121,0.61731,1.36433,0.59011,1.20734,0.000713,0.000713,0.000713
67,5955.22,1.20744,0.58667,1.14987,0.9296,0.94063,0.9803,0.62271,1.32128,0.5724,1.19246,0.0006932,0.0006932,0.0006932
68,6035.84,1.20528,0.58588,1.14762,0.93113,0.93931,0.98016,0.61857,1.3272,0.57404,1.19172,0.0006734,0.0006734,0.0006734
69,6118.82,1.19871,0.5807,1.14014,0.93943,0.94117,0.98061,0.61627,1.33406,0.57581,1.19031,0.0006536,0.0006536,0.0006536
70,6200.65,1.19047,0.56995,1.13992,0.93224,0.94382,0.98166,0.62474,1.33036,0.56632,1.18565,0.0006338,0.0006338,0.0006338
71,6282.81,1.20069,0.57344,1.14603,0.94059,0.93988,0.97893,0.61646,1.32676,0.5721,1.18946,0.000614,0.000614,0.000614
72,6366.4,1.18802,0.57563,1.14381,0.93143,0.94723,0.98185,0.624,1.33063,0.56571,1.18911,0.0005942,0.0005942,0.0005942
73,6447.26,1.18326,0.57132,1.13219,0.92764,0.94987,0.98173,0.63275,1.31009,0.56283,1.20103,0.0005744,0.0005744,0.0005744
74,6529.36,1.18374,0.57372,1.14544,0.93404,0.93406,0.98062,0.6169,1.34725,0.57149,1.20176,0.0005546,0.0005546,0.0005546
75,6609.75,1.18613,0.57088,1.1407,0.94623,0.92862,0.98213,0.62132,1.33007,0.56886,1.19682,0.0005348,0.0005348,0.0005348
76,6689.07,1.18944,0.5801,1.14555,0.95655,0.92931,0.98324,0.62885,1.3272,0.55779,1.18589,0.000515,0.000515,0.000515
77,6767.68,1.17485,0.57177,1.13546,0.93592,0.94327,0.98208,0.62826,1.32144,0.56317,1.18265,0.0004952,0.0004952,0.0004952
78,6849.79,1.17568,0.56404,1.12923,0.9497,0.93536,0.98076,0.6142,1.34069,0.57251,1.18321,0.0004754,0.0004754,0.0004754
79,6934.83,1.18478,0.56704,1.13733,0.91728,0.9591,0.97974,0.61265,1.35393,0.58351,1.18985,0.0004556,0.0004556,0.0004556
80,7017.17,1.18171,0.56863,1.14053,0.92481,0.9573,0.98223,0.62692,1.30157,0.5558,1.1744,0.0004358,0.0004358,0.0004358
81,7098.68,1.18622,0.56572,1.14102,0.93434,0.95742,0.98269,0.62676,1.32306,0.55645,1.18451,0.000416,0.000416,0.000416
82,7179.16,1.15442,0.55874,1.13166,0.93077,0.95251,0.98055,0.62812,1.30499,0.55369,1.17731,0.0003962,0.0003962,0.0003962
83,7267.68,1.17295,0.56419,1.13303,0.92705,0.95119,0.98126,0.62997,1.31215,0.55299,1.17302,0.0003764,0.0003764,0.0003764
84,7351.75,1.18692,0.56743,1.14113,0.93989,0.93799,0.98199,0.62935,1.3175,0.55647,1.17672,0.0003566,0.0003566,0.0003566
85,7432.42,1.16571,0.55953,1.13164,0.94453,0.93931,0.98063,0.63194,1.30375,0.54491,1.17161,0.0003368,0.0003368,0.0003368
86,7514.32,1.16731,0.56562,1.13888,0.91961,0.95071,0.98138,0.63605,1.28453,0.54351,1.16449,0.000317,0.000317,0.000317
87,7596.56,1.16939,0.5518,1.13031,0.91363,0.96297,0.9813,0.63314,1.29719,0.54173,1.17395,0.0002972,0.0002972,0.0002972
88,7676.75,1.15741,0.56114,1.13031,0.90682,0.97573,0.98294,0.63641,1.29088,0.53948,1.1698,0.0002774,0.0002774,0.0002774
89,7756.18,1.14646,0.55658,1.12838,0.91962,0.96174,0.98376,0.62932,1.30963,0.54371,1.17273,0.0002576,0.0002576,0.0002576
90,7836.58,1.14281,0.54387,1.12067,0.93035,0.94723,0.98022,0.62671,1.31724,0.54495,1.17638,0.0002378,0.0002378,0.0002378
91,7930.42,1.14406,0.50491,1.10596,0.93158,0.95196,0.98118,0.63303,1.30468,0.55157,1.17742,0.000218,0.000218,0.000218
92,8016.93,1.13492,0.49148,1.10047,0.94807,0.93928,0.98255,0.62488,1.30694,0.54939,1.18248,0.0001982,0.0001982,0.0001982
93,8106.17,1.1366,0.49159,1.10728,0.93723,0.94987,0.98189,0.63384,1.28987,0.54565,1.17831,0.0001784,0.0001784,0.0001784
94,8193.22,1.12196,0.48564,1.1019,0.93999,0.94591,0.98372,0.64009,1.28116,0.53696,1.17401,0.0001586,0.0001586,0.0001586
95,8273.37,1.1344,0.48675,1.10422,0.92462,0.95646,0.98351,0.6372,1.28702,0.53791,1.17188,0.0001388,0.0001388,0.0001388
96,8354.4,1.12382,0.49244,1.0982,0.91946,0.96386,0.98106,0.63611,1.28318,0.54019,1.17076,0.000119,0.000119,0.000119
97,8437.08,1.12095,0.4876,1.10453,0.92007,0.97189,0.98196,0.63871,1.27995,0.54272,1.16999,9.92e-05,9.92e-05,9.92e-05
98,8523.93,1.11554,0.48339,1.09805,0.91757,0.9657,0.98295,0.63756,1.27892,0.53324,1.16919,7.94e-05,7.94e-05,7.94e-05
99,8606.91,1.11273,0.47968,1.09924,0.91984,0.96966,0.98247,0.63828,1.27528,0.53272,1.1696,5.96e-05,5.96e-05,5.96e-05
100,8687.21,1.11272,0.47896,1.09259,0.92074,0.96557,0.98307,0.63886,1.279,0.53278,1.17001,3.98e-05,3.98e-05,3.98e-05
